"user","age","gender","location","distribution_excellent","distribution_very_good","distribution_avergae","distribution_poor","distribution_terrible"
"LunguM20","","","","4.0","1.0","0.0","0.0","0.0"
"Mobile656157","","","","6.0","0.0","0.0","0.0","0.0"
"Shells_33333","","","Perth, Australia","42.0","20.0","14.0","5.0","4.0"
"Riikka_T80","","","Kangasala, Finland","6.0","6.0","6.0","0.0","0.0"
"Scarlet715","","","Swansea, United Kingdom","21.0","4.0","0.0","0.0","0.0"
"Gabiliviu","","","","14.0","33.0","9.0","2.0","0.0"
"PFM77","","man","Constanta, Romania","","","","",""
"Confarreatio","","","Limassol City, Cyprus","40.0","22.0","10.0","2.0","0.0"
"PetropoulosI","","","Lesbos, Greece","10.0","5.0","0.0","1.0","0.0"
"kiwi47","","","New Zealand","44.0","35.0","8.0","5.0","2.0"
"MuratYalnizoglu","","","Istanbul","7.0","3.0","1.0","1.0","0.0"
"613judithh","","man","Berlin, Germany","","","","",""
"Asiatravels1","","","USA","15.0","1.0","2.0","2.0","4.0"
"judeyork","50-64","woman","York, United Kingdom","21.0","4.0","0.0","0.0","0.0"
"Noto205rius","","","Geroskipou, Cyprus","9.0","0.0","0.0","0.0","2.0"
"Annie Z","","","","19.0","4.0","3.0","1.0","0.0"
"Procopis T","","man","Cyprus","43.0","21.0","6.0","1.0","1.0"
"tuareg13","50-64","man","Rheine, Germany","7.0","19.0","5.0","0.0","0.0"
"Stell611","35-49","woman","Athens, Greece","52.0","19.0","2.0","0.0","0.0"
"evevelina","","","Sofia","8.0","0.0","0.0","0.0","0.0"
"antonio d","50-64","man","Porto Alegre, RS","188.0","203.0","82.0","60.0","13.0"
"638xristinas","18-24","woman","Athens, Greece","9.0","0.0","0.0","0.0","0.0"
"Maria A","","","Vladimir Oblast, Russia","","","","",""
"Gabor M","","","","2.0","1.0","0.0","1.0","0.0"
"538reag","","","Limassol City, Cyprus","","","","",""
"Mveljanovski","","woman","Sydney, Australia","21.0","1.0","0.0","1.0","0.0"
"Iraklis A","","","Vienna, Austria","5.0","2.0","0.0","0.0","0.0"
"darkog272","35-49","man","Belgrade, Serbia","9.0","4.0","6.0","0.0","0.0"
"chrisevansincreete","","","Bournemouth, United Kingdom","3.0","2.0","0.0","0.0","0.0"
"RastkoMechelen","25-34","man","Mechelen, Belgium","69.0","26.0","14.0","4.0","0.0"
"Ntinalexis","35-49","man","Brussels, Belgium","20.0","25.0","10.0","2.0","0.0"
"Rose C","","","Pescara, Italy","7.0","1.0","1.0","2.0","8.0"
"KaterinaAndr","18-24","woman","Manchester, United Kingdom","130.0","166.0","84.0","12.0","6.0"
"168nevenaj","","","Savski Venac, Serbia","4.0","4.0","5.0","1.0","0.0"
"evelyn_camilleri","50-64","woman","Bugibba, Malta","3.0","1.0","1.0","0.0","0.0"
"Tom4Asz","35-49","man","Krakow, Poland","13.0","43.0","34.0","7.0","1.0"
"MiciPe","","woman","Belgrade, Serbia","3.0","1.0","0.0","0.0","0.0"
"AH_CYP","35-49","man","Nicosia, Cyprus","98.0","85.0","45.0","9.0","4.0"
"tasost232","","man","Las Vegas, Nevada","3.0","0.0","0.0","1.0","1.0"
"DesertRose2014","","","Athens, Greece","7.0","16.0","12.0","11.0","3.0"
"susanwalsh","","woman","Glasgow, United Kingdom","403.0","743.0","185.0","22.0","15.0"
"Natsnz","","","London, United Kingdom","9.0","1.0","3.0","0.0","0.0"
"Sachin_IN","25-34","man","India","15.0","84.0","44.0","4.0","9.0"
"A380fan","25-34","man","London, United Kingdom","82.0","213.0","92.0","21.0","4.0"
"Oliver_the_trucker","35-49","man","Namur, Belgium","72.0","21.0","16.0","6.0","1.0"
"Gavyn","","","Brighton, United Kingdom","7.0","1.0","0.0","0.0","0.0"
"maria262055","","","Ayia Napa, Cyprus","5.0","6.0","3.0","0.0","0.0"
"G_Bebetsos","","","","","","","",""
"222PeterK222","","","","94.0","13.0","11.0","0.0","1.0"
"Swissdsign","25-34","man","Switzerland","26.0","6.0","4.0","1.0","0.0"
"Apostolis16","","man","Alexandroupoli, Greece","","","","",""
"Musqat","50-64","man","San Juan Cosala, Mexico","185.0","106.0","34.0","1.0","0.0"
"JohnNero7","","","","","","","",""
"Debalarr","","","Paphos, Cyprus","7.0","0.0","2.0","0.0","0.0"
"gg_gre","","","Irakleio, Greece","7.0","7.0","3.0","0.0","0.0"
"Eudoku","","","","","","","",""
"BRE12_13","","","","","","","",""
"LRH1706","","","","","","","",""
"Mandy N","50-64","woman","Worthing, United Kingdom","11.0","27.0","6.0","1.0","0.0"
"iyadl2014","","","","","","","",""
"Charitomeni V","","","","","","","",""
"Xénia T","","","","","","","",""
"Racacar","","","","","","","",""
"wastoroua1985","","woman","Limassol, Cyprus","32.0","9.0","4.0","0.0","1.0"
"Penelope1435792","","","","","","","",""
"VoulaT21","","","Melbourne, Australia","6.0","0.0","1.0","0.0","0.0"
"Giacomo M","","","","","","","",""
"Calin C","25-34","man","Timisoara, Romania","43.0","32.0","15.0","9.0","6.0"
"strakur74","25-34","man","Malmo, Sweden","8.0","35.0","58.0","24.0","9.0"
"DebiN219","","","Fort Worth, Texas","68.0","43.0","30.0","12.0","19.0"
"Berivana2013","","","","","","","",""
"paraschivc2017","","","","","","","",""
"47EllenCS","","","Ann Arbor, Michigan","9.0","4.0","0.0","1.0","0.0"
"senseiSue","","","","","","","",""
"mirceas335","25-34","man","Bucharest, Romania","64.0","24.0","11.0","2.0","0.0"
"justonehuman","","","San Diego, California","8.0","3.0","0.0","0.0","0.0"
"Ivy Y","35-49","woman","Novi Sad, Serbia","7.0","0.0","1.0","0.0","0.0"
"Dimitra_ioa","25-34","woman","Ioannina, Greece","4.0","5.0","1.0","2.0","1.0"
"guorlan","50-64","man","Italy","81.0","77.0","58.0","32.0","9.0"
"Dori12","","woman","Sofia","33.0","9.0","5.0","3.0","0.0"
"DjMalcha","","","Novi Sad, Serbia","12.0","2.0","1.0","2.0","1.0"
"MarieNeo","35-49","woman","Nicosia, Cyprus","14.0","16.0","2.0","0.0","1.0"
"hussam e","35-49","man","Jeddah, Saudi Arabia","21.0","16.0","2.0","2.0","1.0"
"ChrisZig","","","","5.0","1.0","0.0","0.0","0.0"
"Ana M","","woman","Podgorica, Montenegro","","","","",""
"AndreK913","","","Istanbul, Turkey","16.0","15.0","4.0","1.0","0.0"
"Aliweng","25-34","man","Brighton, United Kingdom","19.0","19.0","4.0","2.0","0.0"
"Vladimir B","35-49","man","Belgrade, null, Serbia","4.0","1.0","0.0","0.0","0.0"
"GDane","","","Cyprus","47.0","62.0","23.0","5.0","0.0"
"Christina B","","","Melbourne, Australia","42.0","17.0","4.0","1.0","1.0"
"georgia064","35-49","woman","Nicosia, Cyprus","140.0","53.0","20.0","11.0","11.0"
"leonardo_1964","50-64","man","Milano","440.0","252.0","75.0","21.0","6.0"
"katenaum","35-49","woman","Republic of North Macedonia","25.0","1.0","3.0","4.0","1.0"
"AntonisP829","35-49","man","Athens, Greece","16.0","4.0","3.0","1.0","1.0"
"Nikos T","","","Athens, Greece","","","","",""
"bolbec","35-49","man","London","36.0","5.0","7.0","4.0","1.0"
"pappaskk","","","Stamford, Connecticut","35.0","52.0","38.0","12.0","0.0"
"ANGELINA G","25-34","woman","ATHENS","5.0","9.0","5.0","0.0","2.0"
"Nikolas S","25-34","man","Thessaloniki, Greece","5.0","0.0","0.0","0.0","0.0"
"Aggelos D","","","Athens, Attiki, Greece","14.0","21.0","5.0","1.0","0.0"
"Nenadzlat","35-49","man","Skopje, Republic of North Macedonia","19.0","13.0","8.0","2.0","1.0"
"Vincenzo E V","From Pordenone, Friuli-Venezia","","Pordenone, Friuli-Venezia Giulia, Italy","8.0","19.0","12.0","4.0","0.0"
"kotzeto","35-49","man","Plovdiv, Bulgaria","9.0","10.0","4.0","1.0","0.0"
"Ed0Y","","","","","","","",""
"Voyager130","","","Cambridge, United Kingdom","","","","",""
"smashtie","","","Cambridge, UK","6.0","0.0","2.0","0.0","0.0"
"Demetris2512","25-34","man","Nicosia, Cyprus","19.0","10.0","3.0","2.0","2.0"
"Skeresenan","25-34","woman","Istanbul, Turkey","5.0","6.0","2.0","1.0","1.0"
"THRYLOS1926","","","","","","","",""
"Christina2001","25-34","woman","Brighton","23.0","9.0","6.0","4.0","6.0"
"PDCE-85","50-64","man","New York City, New York","28.0","39.0","11.0","5.0","1.0"
"Jazzm8","","","","","","","",""
"minnieschubert","35-49","woman","hove","21.0","9.0","5.0","10.0","2.0"
"michael_b_2","50-64","man","Edgware, United Kingdom","75.0","32.0","10.0","3.0","0.0"
"teosidana","","","","","","","",""
"bemyguest1974","","","","","","","",""
"WSpinner","50-64","man","Cambridge, United Kingdom","21.0","16.0","9.0","3.0","3.0"
"miasmith","","","","","","","",""
"Ckart","","","","","","","",""
"Arocks","","","","","","","",""
"Rosanne","","","maryland","19.0","29.0","0.0","0.0","0.0"
"obzrv","","","","","","","",""
"razbibriga","35-49","woman","Belgrade","10.0","0.0","0.0","1.0","0.0"
"xpistinaki","","","","","","","",""
"MtDiablo","","","","","","","",""
"asimenia","","woman","Preveza Region, Greece","23.0","7.0","8.0","1.0","1.0"
"TakisMen","","","","","","","",""
"FDC00","35-49","woman","Berlin","1.0","3.0","2.0","1.0","2.0"
"UniversalRoamer","50-64","woman","Adelaide, Australia","23.0","26.0","6.0","2.0","0.0"
"TLTraveller","35-49","man","Toronto, Canada","27.0","39.0","10.0","0.0","0.0"
"ooDormouseoo","","man","Cornwall, United Kingdom","24.0","49.0","19.0","0.0","0.0"
"Virginia_Lee7","50-64","woman","Lexington, Virginia","39.0","14.0","5.0","0.0","0.0"
"flip37","","","","","","","",""
"Xberliner","","","Washington, DC","3.0","2.0","1.0","0.0","0.0"
"Stmig","","","","","","","",""
"Resort14734","","","","1.0","2.0","1.0","0.0","0.0"
"BunchOfLilies","25-34","woman","London, United Kingdom","380.0","157.0","52.0","17.0","1.0"
"YoelN","","","Tel Aviv, Israel","23.0","1.0","3.0","0.0","2.0"
"lad1122","","","","","","","",""
"Dream674858","","","","","","","",""
"NJ_Independent","","","","","","","",""
"Pliszek","35-49","","Warsaw, Poland","41.0","24.0","1.0","0.0","0.0"
"noamgu73","","","","","","","",""
"SpirosP80","","","","","","","",""
"Marcos S","","","","","","","",""
"qileri","","","","","","","",""
"Salvador M","","","","5.0","0.0","0.0","0.0","0.0"
"NorthGreece1","","","","","","","",""
"Vishnu U","","","","","","","",""
"AllanH337","50-64","man","Barnsley, United Kingdom","17.0","12.0","3.0","0.0","0.0"
"MCetinAkdogan","","","","","","","",""
"hazzpel1","","man","Melbourne, Australia","8.0","68.0","10.0","5.0","4.0"
"GlobalRover","","","","","","","",""
"Xaviero76","","","","","","","",""
"Granatik_1","","","","","","","",""
"NAHUMIS","","","","","","","",""
"judger10","","","","","","","",""
"peter1107a","","","Sydney, Australia","18.0","18.0","3.0","0.0","0.0"
"stylianosk316","","","","","","","",""
"YannisPsarras","","man","Athens, Greece","19.0","7.0","12.0","4.0","5.0"
"785gabrielah","","","","","","","",""
"PoppykK","","","","","","","",""
"livelifeasaholiday","35-49","woman","Nicosia, Cyprus","6.0","0.0","0.0","0.0","0.0"
"martinj386","","","","","","","",""
"alexandrasT7560YO","","","","","","","",""
"limefroggy K","","","Melbourne, Australia","1.0","3.0","1.0","0.0","0.0"
"TJS123Rochester","","","","","","","",""
"MohammadB394","","","London, England, United Kingdom","12.0","12.0","5.0","1.0","1.0"
"frawla","35-49","woman","Leicester, United Kingdom","67.0","32.0","19.0","14.0","13.0"
"Rebecca S","","","Ipswich, England, United Kingdom","2.0","1.0","4.0","0.0","1.0"
"Maggyv","","woman","Pelion, Greece","10.0","8.0","3.0","2.0","0.0"
"Orna-rom","","man","Hamburg, Germany","64.0","42.0","8.0","4.0","2.0"
"Yuval D","50-64","man","Ramat Gan, Israel","74.0","52.0","32.0","15.0","4.0"
"Tolga K","","","","104.0","109.0","28.0","8.0","0.0"
"PeePee T","","","","","","","",""
"Ktenias","","","","","","","",""
"Kelvin K","","","","","","","",""
"pkinchina","","","","","","","",""
"753MichaelB","","","","","","","",""
"cindybT9154DH","","","","","","","",""
"Laura N","","","","","","","",""
"EleosNow","","","","","","","",""
"SmallTownWa","","","","","","","",""
"ongeeson","","","","","","","",""
"Cecilia V","","","","","","","",""
"Thomas d","35-49","man","London, United Kingdom","38.0","18.0","19.0","3.0","3.0"
"Zoran P","","","","19.0","5.0","2.0","1.0","3.0"
"Andreas I","35-49","man","Limassol City, Cyprus","9.0","28.0","15.0","5.0","3.0"
"Daniela S","35-49","woman","Tremelo, Belgium","135.0","36.0","16.0","4.0","5.0"
"okyrhoe","","","","","","","",""
"Sven S","","man","Bonn, Germany","5.0","1.0","0.0","0.0","1.0"
"asty","","","","","","","",""
"Kourkoulos","","","","","","","",""
"823isabellek","","","","","","","",""
"AlexLucBruxelles","","","Brussels, Belgium","3","1.0","1.0","2.0","0.0"
"beverlyt838","","","Regina","2","1.0","1.0","0.0","0.0"
"Hayriirdal","","","","","","","",""
"evren v","","","","","","","",""
"JRTLEX","","","","","","","",""
"963Dave_C","50-64","man","Richmond, United Kingdom","22","11.0","1.0","0.0","0.0"
"claeshagstrom","","","","","","","",""
"746krisztinab","","","","","","","",""
"Kathrine B","","","","","","","",""
"Brynndabella","","","Ra'anana","25","5.0","2.0","2.0","0.0"
"mariandern","","","","","","","",""
"Notthatold","","","","","","","",""
"Petrose2244","","","","","","","",""
"shoemaker_10","","","","","","","",""
"fatmam34","","","","","","","",""
"nastikm","","","","","","","",""
"JackieLancashire","","woman","Lancashire","9","4.0","0.0","0.0","0.0"
"laendersammler","","","","","","","",""
"MartynaWWW","","","","","","","",""
"KristianaVe","","","","","","","",""
"alinutzapif","","","","","","","",""
"Stella-Teddy D","","","limassol","14","7.0","2.0","1.0","1.0"
"Baly50","50-64","man","York, United Kingdom","25","88.0","14.0","1.0","0.0"
"Anca_Fronea","","","","6","0.0","1.0","0.0","0.0"
"IndianGlobalVillager","","","","","","","",""
"Creeping_Death_LA","","","","","","","",""
"Stanislava T","","","","","","","",""
"joebobs1","","","Sheffield, United Kingdom","72","44.0","14.0","4.0","2.0"
"Ilias M","","","","","","","",""
"21gaik","","","","","","","",""
"eilonglen","","man","Ashkelon, Israel","162","151.0","23.0","2.0","0.0"
"Rachel E","","","","","","","",""
"gshakirova","25-34","woman","Moscow, Russia","61","24.0","3.0","2.0","1.0"
"nikolinr","","","","","","","",""
"Taulant G","","","","","","","",""
"bob1ty","","","","","","","",""
"MikeWells90","","","","","","","",""
"FloopySandlet101","","","Basel, Switzerland","192","94.0","19.0","9.0","1.0"
"rmpascoe","","","","","","","",""
"Shagovichok","","","Moscow, Russia","1","0.0","1.0","0.0","2.0"
"Oatley_traveller","","","","","","","",""
"S1209NNr","","","London","5","2.0","0.0","0.0","2.0"
"HarryC1225","","","","","","","",""
"Deniz U","","","","","","","",""
"hashtag_Yeti","","","","","","","",""
"cvpsb","50-64","man","Sibiu, Romania","16","7.0","1.0","1.0","0.0"
"BaneaA","","","","","","","",""
"UNBP","","","","","","","",""
"Panayiotis M","","","Thessaloniki, Greece","3","0.0","0.0","0.0","0.0"
"Jelena R","","","","","","","",""
"Dom318","","","","","","","",""
"Georgie C","25-34","woman","Community of Madrid, Spain","11","21.0","19.0","7.0","0.0"
"carlos526","","","","","","","",""
"Batchman","","","","","","","",""
"gingerhine","","","","","","","",""
"srwally2014","50-64","man","Paphos, Cyprus","123","98.0","47.0","12.0","6.0"
"gerardov775","","","","","","","",""
"Dianne C","","","","","","","",""
"NikoM949","35-49","man","Essen, Germany","79","60.0","10.0","4.0","4.0"
"r0landbrunner","","","","","","","",""
"Manc_Ste","25-34","man","Manchester, United Kingdom","13","28.0","11.0","0.0","0.0"
"Phillipbansko","","","Bansko, Bulgaria","18","4.0","2.0","0.0","0.0"
"PETERTODD","","","","","","","",""
"Todor S","","","","","","","",""
"Ingrid K","","","","","","","",""
"MonctonCanucks","","man","New Brunswick","157","37.0","16.0","10.0","1.0"
"40milost","","","","","","","",""
"NikhilKapoor","","","","111","31.0","13.0","6.0","3.0"
"150ayseb","","","","","","","",""
"Hershie","","","","","","","",""
"Antonis A","","","","","","","",""
"Globalurban","25-34","man","Brisbane, Australia","303","368.0","57.0","7.0","3.0"
"yoribe","","","Menlo Park, California","32","6.0","2.0","0.0","0.0"
"aliuygur","25-34","man","Ankara, Turkey","5","0.0","1.0","1.0","0.0"
"ChristinaCM","","","","","","","",""
"Paul L","","man","Zeist, The Netherlands","8","1.0","1.0","0.0","0.0"
"summmer_owl","","woman","Warsaw, Poland","17","12.0","2.0","2.0","1.0"
"izavoyage","","","Quebec, Canada","8","6.0","6.0","0.0","1.0"
"daniel R","","","","","","","",""
"Nostramadeus","","man","Bloomington, Indiana","3","35.0","42.0","11.0","1.0"
"ladyladymarian","","","","","","","",""
"coolhandjosh","","","","","","","",""
"Nanoushka","","","","","","","",""
"maxmassi75","","","","","","","",""
"anna_bleu","From -","","--","7","4.0","3.0","3.0","0.0"
"Nicolita99","","","","","","","",""
"CharlesCarmichael","25-34","man","Barcelona, Spain","9","6.0","1.0","2.0","0.0"
"PeterB48","","","","","","","",""
"thanasakleas","","","","","","","",""
"Lijuan C","","","","","","","",""
"Sara P","","","","","","","",""
"GertjieC","","","","","","","",""
"Shuchita412","","woman","Bengaluru, India","26","9.0","1.0","1.0","0.0"
"max9244","","man","Brighton, United Kingdom","4","16.0","7.0","1.0","1.0"
"christinefromkos","","","","","","","",""
"robypsycho","35-49","woman","Torino","10","10.0","4.0","4.0","4.0"
"Tsako","","","","","","","",""
"Ananiya","","","","","","","",""
"EKC_LA_CA","","","Los Angeles, California","51","3.0","1.0","1.0","2.0"
"KrisD_pl","35-49","man","Warsaw, Poland","222","739.0","453.0","66.0","6.0"
"Rob4Roy","","","","","","","",""
"stpantazis","35-49","man","Athens","19","9.0","7.0","2.0","2.0"
"TrishP333","","","Devon, United Kingdom","3","2.0","0.0","0.0","0.0"
"BeastiePV","","","Puerto Vallarta, Mexico","310","175.0","126.0","25.0","9.0"
"StellaSM","","","Salisbury, United Kingdom","24","2.0","0.0","0.0","0.0"
"jenellepower","","","","","","","",""
"Alma D","","","","","","","",""
"K1960","","","","","","","",""
"rprior2008","","","","","","","",""
"Loanaa","","","","","","","",""
"Deni P","","","","","","","",""
"travelmelb_13","","","","","","","",""
"aleksandarpetrovic","","","Belgrade, Serbia","7","1.0","0.0","0.0","0.0"
"2010TravelMonkey","35-49","man","Yomitan-son, Japan","24","16.0","5.0","1.0","2.0"
"GailR52","","","","","","","",""
"Mihai M","","","","","","","",""
"Annaemarco_26","25-34","woman","Naples, Italy","22","15.0","7.0","4.0","2.0"
"ShropshireKerrie","50-64","woman","Thassos Town (Limenas), Greece","30","1.0","0.0","3.0","1.0"
"johan_vvr","","","Torhout, Belgium","16","20.0","9.0","0.0","0.0"
"Oshko","","","","","","","",""
"richard130558","50-64","man","stockton on tees","26","11.0","2.0","1.0","0.0"
"philippos p","","","","","","","",""
"RomHovs","25-34","man","Yerevan, Armenia","6","4.0","2.0","0.0","0.0"
"Lesley J","","","","","","","",""
"Olsi T","","","Tirana, Albania","4","1.0","0.0","1.0","1.0"
"Sueppa","","","","","","","",""
"Despina I","","","","","","","",""
"sparklingwinecurator","","","","","","","",""
"jackickx","","","","","","","",""
"Mirciulici","","","","","","","",""
"Alfonso P","","","","","","","",""
"drhako","","","","","","","",""
"Nicola_Coleman","25-34","woman","Berlin, Germany","6","4.0","0.0","1.0","1.0"
"ShikebPITBULL","","","London, England, United Kingdom","","","","",""
"Maria L","","","","","","","",""
"_Adr1an_n_","35-49","man","Bucharest, Romania","4","5.0","1.0","0.0","0.0"
"DublinRobert","","","","","","","",""
"HaniHo","","","","","","","",""
"SporadicTravellers","","","","","","","",""
"RutgerR_043","","","","","","","",""
"Spekka","25-34","man","St. Gallen, Switzerland","65","36.0","36.0","12.0","3.0"
"limbimbostok","","","","","","","",""
"yikes6","","","","","","","",""
"santjordi","","","","","","","",""
"Hippocleides","","man","London, United Kingdom","27","15.0","10.0","5.0","2.0"
"HelloSAM","35-49","woman","Melbourne, Australia","55","14.0","9.0","0.0","3.0"
"Delideb","","","","","","","",""
"RohanD690","","","","","","","",""
"Carles M","","","","","","","",""
"gallidoulaki","","","","","","","",""
"missIndy","35-49","woman","Paphos, Cyprus","31","29.0","25.0","10.0","5.0"
"Margaret R","","","","","","","",""
"andi_hub","","","","","","","",""
"Anton I","","","","","","","",""
"Minatas","","woman","Belgrade, Serbia","25","16.0","1.0","0.0","1.0"
"Waldea","","","","","","","",""
"EvangeliaK1","35-49","woman","New York City, New York","12","11.0","3.0","2.0","0.0"
"jimknies","50-64","man","Budapest, Hungary","12","0.0","0.0","0.0","0.0"
"arrianos","","","","","","","",""
"Anna-Kate-P","","","","","","","",""
"brasileirinha","","","","","","","",""
"PeteJN","","","","","","","",""
"ConstantinosA","","","","","","","",""
"PetertheJustOkay","50-64","man","Seattle, Washington","33","19.0","8.0","3.0","2.0"
"Toniaff","","","","","","","",""
"dickonfotheringay","","","fotheringay","94","36.0","25.0","9.0","13.0"
"BIM_in_tour","35-49","man","Granada, Spain","0","9.0","3.0","3.0","0.0"
"gypseygirl","","","","","","","",""
"Simone_F_Milano","","","","","","","",""
"ioanna_va","","","ioanna_va","6","2.0","2.0","0.0","2.0"
"Tina14012","","","","","","","",""
"Amyntas","","","","","","","",""
"maja48","","","","","","","",""
"oreo_jo","","","York, United Kingdom","13","27.0","25.0","11.0","1.0"
"80shilling","","","","","","","",""
"danis007","","","","","","","",""
"Adplusverb","","","","","","","",""
"Claire B","","","","","","","",""
"CaliforniaApples2009","","","California","2","3.0","1.0","1.0","0.0"
"ClayC1969","","","","","","","",""
"sl1pper","","","Glasgow, United Kingdom","","","","",""
"zanylady99","","woman","Auburn, California","5","3.0","4.0","1.0","0.0"
"VeganC","","","","","","","",""
"cardiffslim","","","","","","","",""
"byz","25-34","woman","Ravenna, Italy","","","","",""
"Yasserfreeman","","","","","","","",""
"GetawayAddict","","","","","","","",""
"Chen L","25-34","man","Tel Aviv, Israel","22","14.0","9.0","6.0","1.0"
"willako","","","","","","","",""
"jelliski","","","","","","","",""
"Boydus","35-49","man","Chesterfield, United Kingdom","29","24.0","14.0","3.0","2.0"
"wprch123","","","","","","","",""
"markova_z","","","","","","","",""
"Shimbles","","","","","","","",""
"kyriakristi","50-64","woman","Buckinghamshire, England","","","","",""
"Patricio S","","","","","","","",""
"Canadian079","","man","Toronto","60","155.0","70.0","20.0","5.0"
"Tsvetan N","","","","","","","",""
"murta","25-34","woman","Istanbul, Turkey","3","0.0","0.0","0.0","1.0"
"HamiltonYorkshire","","","Yorkshire","1","4.0","0.0","0.0","0.0"
"tkdmomCalgary","","","","","","","",""
"Kiwiwasatch","","","","","","","",""
"EGeorgeUS","","","","","","","",""
"Lila55","","","","","","","",""
"Getaway13334","","","Drogheda, Ireland","","","","",""
"Trek17977","","","Chicago, IL","","","","",""
"Fearless26130","","","","","","","",""
"AniA668","","","","","","","",""
"yossir2015","","man","Tel Aviv, Israel","72.0","54.0","19.0","4.0","0.0"
"Adventurer811193","","","","","","","",""
"ivankP9451FP","","","","","","","",""
"JonKaa","35-49","man","Oslo, Norway","11.0","2.0","2.0","1.0","0.0"
"mimoa464","","","Osdorp, The Netherlands","","","","",""
"julia s","","","The Netherlands","5.0","0.0","0.0","0.0","0.0"
"banelui","","","","2.0","2.0","3.0","1.0","1.0"
"EmirC105","","","","8.0","2.0","4.0","4.0","1.0"
"geo k","","","","4.0","0.0","0.0","0.0","0.0"
"AlkiviadisR","","man","Athens, Greece","43.0","18.0","5.0","2.0","1.0"
"carolmaggs","","","","","","","",""
"Siobhan M","35-49","woman","Stockport","3.0","0.0","0.0","0.0","1.0"
"Leifer68","","","","","","","",""
"zur3t","","","London, United Kingdom","2.0","3.0","0.0","0.0","0.0"
"gonmel","","","","","","","",""
"519ekremh","","","","","","","",""
"SDKS","","","Corsham, United Kingdom","9.0","1.0","0.0","1.0","1.0"
"Ricky M","","","","","","","",""
"HenkKoppelaar","50-64","man","Utrecht, The Netherlands","34.0","43.0","10.0","0.0","0.0"
"242marthal","","","","","","","",""
"IleneB867","","","Hod Hasharon, Israel","55.0","21.0","6.0","1.0","0.0"
"RonJ934","","","","","","","",""
"Tanya S","","","","1.0","2.0","3.0","0.0","0.0"
"eddie6778","","","London, United Kingdom","40.0","2.0","0.0","1.0","4.0"
"imoto","","","","","","","",""
"Thorn4all","","","","","","","",""
"bogaca","","","","","","","",""
"Constantinos S","","","","","","","",""
"RRENA","25-34","woman","SALONIKA","","","","",""
"BnV2912","50-64","man","Rochdale, United Kingdom","16.0","10.0","4.0","5.0","0.0"
"EasyBusyCorfu","","","","","","","",""
"BabakThessaloniki","","","","","","","",""
"Peter_Yana","","","","","","","",""
"LinnyNL","","","","","","","",""
"Chikira","","","","","","","",""
"BUTCH A","","","","","","","",""
"Happy_married_man","25-34","man","Athens, Greece","5.0","2.0","2.0","1.0","1.0"
"Travelbug186605","25-34","woman","Dublin, Ireland","2.0","4.0","1.0","0.0","1.0"
"AthensDimitra","25-34","woman","Athens, Greece","11.0","7.0","1.0","0.0","1.0"
"tova888","35-49","woman","Canada","4.0","2.0","1.0","1.0","3.0"
"TechOneNorway","","","","","","","",""
"cosmo17","25-34","woman","Lexington, Kentucky","10.0","11.0","5.0","2.0","2.0"
"manque","35-49","man","Chicago, Illinois","13.0","3.0","3.0","0.0","1.0"
"GlobeTrotting23679","","","Cumbria, England","","","","",""
"514draganas","","","","","","","",""
"alex_lpk","","","","","","","",""
"AaronBreake1988","","","","","","","",""
"Passenger530317","","","","","","","",""
"CharlotteBelge","","","","","","","",""
"nickye800","","","","","","","",""
"teodormGreece","","","","","","","",""
"RickyA1006","","","","","","","",""
"Annalevine","","","","","","","",""
"Marmanik","","","","","","","",""
"toni_kovachev","","","","","","","",""
"173drek","","","","","","","",""
"luisr_12","","","","","","","",""
"BorjanB4","","","","","","","",""
"alfad902","","","","","","","",""
"Chris P","","","","","","","",""
"IonutRa","","","","","","","",""
"SShally93","","","","","","","",""
"patokvack","","","","","","","",""
"Periscope","","","","","","","",""
"IliasS14","","","","","","","",""
"Giannis G","","","","","","","",""
"Anna F","","","","","","","",""
"SteveB0493","","","","","","","",""
"tintin84","","","","","","","",""
"ChrisG906","","","","","","","",""
"doring56","","","","","","","",""
"597majar","","","","","","","",""
"JuMaTa11","","","","","","","",""
"TripleDC","","","","","","","",""
"Joel N","","","","","","","",""
"84christo84","","","","","","","",""
"Neculai M","","","","","","","",""
"Umran U","","","","","","","",""
"StergiosGreco","","","","","","","",""
"Belgian_Foodie1","","","","","","","",""
"JamesSmeader","","","","","","","",""
"Eric S","","","","","","","",""
"Odysseaus","","","","","","","",""
"Olga M","","","","","","","",""
"Jivko V","","","","","","","",""
"Maren P","","","","","","","",""
"mlaopodi","","","","","","","",""
"elis g","","","","","","","",""
"Dinos47","","","","","","","",""
"Dimitris G","","","","","","","",""
"alpe1000","","","","","","","",""
"339viktorian","","","","","","","",""
"Emilakis","","","","","","","",""
"SofiaMan","","","","","","","",""
"vasiliosz2014","","","","","","","",""
"SergeBuemba","","","","","","","",""
"Lana J","","","","","","","",""
"gkodinov","","","","","","","",""
"Sarah C","","","","","","","",""
"Mike G","","","","","","","",""
"135tanyaa","","","","","","","",""
"feministdramaturg","","","","","","","",""
"Andrijana B","","","","","","","",""
"florin99","","","","","","","",""
"Barkii","","","","","","","",""
"Constant_Greek","","","","","","","",""
"voulita","","","","","","","",""
"liblg","","","","","","","",""
"Thalakii","","","","","","","",""
"SethJ_11","","","","","","","",""
"danj658","","","","","","","",""
"BURNDYBOY","","","","","","","",""
